<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;;Žòêðûòèå 10-09;Œàêñèìóì 10-09;Œèíèìóì 10-09;‡àêðûòèå 10-09;Žòêðûòèå 10-10;Œàêñèìóì 10-10;Œèíèìóì 10-10;‡àêðûòèå 10-10;Žòêðûòèå 12-11;Œàêñèìóì 12-11;Œèíèìóì 12-11;‡àêðûòèå 12-11;Žòêðûòèå 10-12;Œàêñèìóì 10-12;Œèíèìóì 10-12;‡àêðûòèå 10-12
SPFB,RTS-12,18;1;10,09,2018;10:01;103750;103900;103680;103900;19;;103750,00;103900;103680;103900;116080;116480;116080;116340;111190;112360;111190;112330;114440;114850;114000;114620
SPFB,RTS-12,18;1;10,09,2018;10:02;103840;104120;103840;104120;46;;103840,00;104120;103840;104120;116340;116470;116270;116310;112320;112520;112290;112300;114600;114860;114500;114660
SPFB,RTS-12,18;1;10,09,2018;10:03;104030;104030;103970;103970;6;;104030,00;104030;103970;103970;116310;116460;116310;116440;112300;112450;112290;112310;114660;114750;114560;114630
SPFB,RTS-12,18;1;10,09,2018;10:04;103980;104000;103980;104000;29;;103980,00;104000;103980;104000;116440;116450;116270;116330;112300;112390;112290;112390;114630;114640;114570;114620
SPFB,RTS-12,18;1;10,09,2018;10:05;104010;104220;104010;104220;37;;104010,00;104220;104010;104220;116320;116320;116210;116220;112400;112450;112380;112420;114620;114650;114600;114650
SPFB,RTS-12,18;1;10,09,2018;10:06;104150;104150;104050;104050;26;;104150,00;104150;104050;104050;116230;116260;116070;116100;112430;112460;112370;112450;114640;114760;114610;114680
SPFB,RTS-12,18;1;10,09,2018;10:07;104160;104200;104160;104200;2;;104160,00;104200;104160;104200;116100;116130;116020;116100;112450;112600;112410;112590;114690;114720;114610;114620
SPFB,RTS-12,18;1;10,09,2018;10:08;104200;104250;104190;104230;14;;104200,00;104250;104190;104230;116120;116160;115880;115900;112590;112620;112520;112530;114620;114640;114600;114620
SPFB,RTS-12,18;1;10,09,2018;10:09;104200;104200;104140;104140;4;;104200,00;104200;104140;104140;115890;115900;115670;115690;112540;112590;112490;112500;114620;114670;114610;114630
SPFB,RTS-12,18;1;10,09,2018;10:10;104150;104290;104150;104220;19;;104150,00;104290;104150;104220;115700;115780;115590;115760;112500;112530;112390;112470;114640;114650;114600;114650
SPFB,RTS-12,18;1;10,09,2018;10:11;104210;104210;104150;104150;8;;104210,00;104210;104150;104150;115760;115890;115760;115820;112480;112500;112410;112490;114650;114790;114620;114750
SPFB,RTS-12,18;1;10,09,2018;10:12;104190;104220;104190;104200;12;;104190,00;104220;104190;104200;115840;115850;115670;115680;112490;112520;112440;112470;114760;114810;114650;114780
SPFB,RTS-12,18;1;10,09,2018;10:13;104150;104150;104130;104130;36;;104150,00;104150;104130;104130;115680;115690;115510;115560;112470;112540;112460;112540;114780;114800;114710;114710
SPFB,RTS-12,18;1;10,09,2018;10:14;104120;104120;104060;104060;138;;104120,00;104120;104060;104060;115560;115640;115480;115520;112530;112610;112530;112600;114720;114800;114690;114780
SPFB,RTS-12,18;1;10,09,2018;10:15;104140;104150;104100;104120;6;;104140,00;104150;104100;104120;115530;115600;115510;115570;112610;112680;112570;112580;114770;114790;114690;114710
SPFB,RTS-12,18;1;10,09,2018;10:16;104150;104150;104060;104060;158;;104150,00;104150;104060;104060;115590;115610;115550;115610;112580;112640;112520;112610;114710;114740;114650;114660
SPFB,RTS-12,18;1;10,09,2018;10:17;104060;104120;104040;104120;45;;104060,00;104120;104040;104120;115610;115640;115200;115370;112620;112680;112580;112650;114660;114720;114620;114710
SPFB,RTS-12,18;1;10,09,2018;10:18;104100;104120;104090;104110;6;;104100,00;104120;104090;104110;115350;115520;115350;115470;112650;112730;112620;112670;114720;114730;114690;114720
SPFB,RTS-12,18;1;10,09,2018;10:19;104140;104140;104090;104120;7;;104140,00;104140;104090;104120;115470;115550;115470;115530;112680;112680;112610;112620;114720;114810;114710;114760
SPFB,RTS-12,18;1;10,09,2018;10:20;104070;104070;104070;104070;4;;104070,00;104070;104070;104070;115520;115550;115450;115470;112630;112670;112610;112670;114750;114830;114700;114830
SPFB,RTS-12,18;1;10,09,2018;10:21;104100;104130;104100;104100;103;;104100,00;104130;104100;104100;115470;115580;115420;115580;112670;112700;112660;112670;114830;114890;114790;114810
SPFB,RTS-12,18;1;10,09,2018;10:23;104050;104080;104040;104080;14;;104050,00;104080;104040;104080;115580;115740;115530;115610;112680;112730;112650;112660;114810;114840;114790;114800
SPFB,RTS-12,18;1;10,09,2018;10:24;104050;104100;104050;104100;19;;104050,00;104100;104050;104100;115610;115660;115530;115580;112650;112680;112600;112610;114800;114830;114780;114800
SPFB,RTS-12,18;1;10,09,2018;10:25;104120;104170;104120;104160;19;;104120,00;104170;104120;104160;115570;115690;115530;115680;112610;112630;112540;112570;114790;114820;114760;114770
SPFB,RTS-12,18;1;10,09,2018;10:26;104160;104160;104160;104160;1;;104160,00;104160;104160;104160;115670;115670;115560;115630;112560;112580;112540;112560;114770;114810;114750;114790
SPFB,RTS-12,18;1;10,09,2018;10:27;104080;104170;104040;104050;63;;104080,00;104170;104040;104050;115630;115640;115470;115510;112570;112590;112490;112490;114810;114840;114770;114810
SPFB,RTS-12,18;1;10,09,2018;10:28;104070;104100;104070;104070;21;;104070,00;104100;104070;104070;115500;115520;115380;115410;112490;112540;112420;112420;114810;114840;114780;114840
SPFB,RTS-12,18;1;10,09,2018;10:29;104140;104160;104120;104160;14;;104140,00;104160;104120;104160;115420;115500;115410;115430;112440;112470;112410;112460;114840;114880;114790;114790
SPFB,RTS-12,18;1;10,09,2018;10:30;104200;104200;104200;104200;1;;104200,00;104200;104200;104200;115430;115490;115430;115480;112460;112540;112450;112510;114790;114820;114740;114750
SPFB,RTS-12,18;1;10,09,2018;10:31;104210;104210;104180;104180;6;;104210,00;104210;104180;104180;115490;115520;115440;115510;112500;112530;112490;112500;114750;114790;114740;114770
SPFB,RTS-12,18;1;10,09,2018;10:33;104110;104140;104050;104140;29;;104110,00;104140;104050;104140;115510;115540;115280;115300;112500;112560;112470;112470;114780;114840;114760;114820
SPFB,RTS-12,18;1;10,09,2018;10:34;104170;104200;104130;104130;30;;104170,00;104200;104130;104130;115290;115320;115250;115300;112470;112480;112440;112450;114820;114830;114760;114790
SPFB,RTS-12,18;1;10,09,2018;10:35;104150;104160;104140;104150;35;;104150,00;104160;104140;104150;115310;115320;115110;115140;112460;112490;112450;112480;114790;114840;114780;114830
SPFB,RTS-12,18;1;10,09,2018;10:36;104090;104110;104040;104040;6;;104090,00;104110;104040;104040;115130;115130;114840;114900;112470;112530;112470;112500;114840;114890;114830;114840
SPFB,RTS-12,18;1;10,09,2018;10:37;104130;104150;104130;104150;2;;104130,00;104150;104130;104150;114900;114980;114880;114960;112500;112550;112490;112540;114850;114850;114810;114830
SPFB,RTS-12,18;1;10,09,2018;10:38;104130;104130;104130;104130;50;;104130,00;104130;104130;104130;114950;114960;114860;114860;112540;112630;112510;112610;114830;114870;114790;114800
SPFB,RTS-12,18;1;10,09,2018;10:39;104160;104180;104160;104180;5;;104160,00;104180;104160;104180;114860;114900;114770;114830;112610;112660;112600;112620;114790;114830;114790;114820
SPFB,RTS-12,18;1;10,09,2018;10:41;104190;104200;104060;104060;13;;104190,00;104200;104060;104060;114820;115000;114760;114910;112620;112620;112570;112590;114810;114890;114810;114880
SPFB,RTS-12,18;1;10,09,2018;10:42;104060;104130;104030;104130;49;;104060,00;104130;104030;104130;114910;114970;114870;114950;112590;112610;112550;112550;114870;114930;114870;114900
SPFB,RTS-12,18;1;10,09,2018;10:43;104130;104130;104050;104050;100;;104130,00;104130;104050;104050;114930;114970;114860;114910;112550;112570;112510;112510;114890;114960;114860;114870
SPFB,RTS-12,18;1;10,09,2018;10:44;104030;104100;104030;104100;27;;104030,00;104100;104030;104100;114900;115000;114890;114990;112520;112520;112460;112490;114880;114900;114820;114850
SPFB,RTS-12,18;1;10,09,2018;10:45;104160;104160;104110;104110;5;;104160,00;104160;104110;104110;114990;114990;114880;114930;112490;112580;112490;112550;114860;114920;114850;114910
SPFB,RTS-12,18;1;10,09,2018;10:46;104130;104130;104130;104130;1;;104130,00;104130;104130;104130;114920;114940;114840;114870;112550;112570;112520;112520;114920;114990;114900;114970
SPFB,RTS-12,18;1;10,09,2018;10:48;104080;104080;104050;104050;90;;104080,00;104080;104050;104050;114880;114960;114850;114950;112530;112530;112490;112490;114980;115050;114940;114950
SPFB,RTS-12,18;1;10,09,2018;10:49;104100;104110;104100;104110;6;;104100,00;104110;104100;104110;114950;114960;114860;114890;112500;112560;112490;112560;114940;115040;114930;115010
SPFB,RTS-12,18;1;10,09,2018;10:50;104090;104130;104080;104110;57;;104090,00;104130;104080;104110;114900;115050;114870;115020;112550;112610;112500;112530;115020;115030;114970;115000
SPFB,RTS-12,18;1;10,09,2018;10:51;104130;104130;104060;104090;18;;104130,00;104130;104060;104090;115020;115090;115010;115060;112530;112530;112450;112450;115010;115040;114990;115040
SPFB,RTS-12,18;1;10,09,2018;10:52;104060;104070;104000;104060;282;;104060,00;104070;104000;104060;115080;115120;115020;115060;112460;112490;112450;112460;115040;115050;114950;114980
SPFB,RTS-12,18;1;10,09,2018;10:53;104030;104030;103900;103900;29;;104030,00;104030;103900;103900;115070;115080;115000;115020;112470;112500;112470;112500;114970;115130;114970;115120
SPFB,RTS-12,18;1;10,09,2018;10:54;103950;103960;103900;103930;27;;103950,00;103960;103900;103930;115010;115080;114980;114990;112500;112520;112470;112480;115120;115210;115100;115140
SPFB,RTS-12,18;1;10,09,2018;10:55;103960;103960;103950;103950;3;;103960,00;103960;103950;103950;114970;114990;114880;114940;112500;112500;112450;112460;115140;115160;115060;115080
SPFB,RTS-12,18;1;10,09,2018;10:56;103980;103980;103980;103980;1;;103980,00;103980;103980;103980;114930;115010;114920;115010;112460;112490;112460;112460;115070;115120;115050;115120
SPFB,RTS-12,18;1;10,09,2018;10:57;103970;103970;103970;103970;2;;103970,00;103970;103970;103970;115010;115090;115010;115030;112450;112480;112430;112460;115120;115130;115040;115060
SPFB,RTS-12,18;1;10,09,2018;10:59;104020;104020;104000;104000;7;;104020,00;104020;104000;104000;115020;115050;114960;114990;112450;112450;112420;112440;115060;115070;115020;115040
SPFB,RTS-12,18;1;10,09,2018;11:00;103970;104000;103970;103980;42;;103970,00;104000;103970;103980;115020;115030;115000;115020;112440;112470;112420;112430;115040;115090;114910;115040
SPFB,RTS-12,18;1;10,09,2018;11:01;103970;104050;103970;104050;22;;103970,00;104050;103970;104050;115000;115060;114960;114990;112440;112460;112370;112440;115040;115060;114920;114960
SPFB,RTS-12,18;1;10,09,2018;11:02;104060;104080;104060;104080;44;;104060,00;104080;104060;104080;114990;115060;114990;115060;112430;112500;112400;112480;114970;114970;114920;114950
SPFB,RTS-12,18;1;10,09,2018;11:03;104050;104060;104050;104060;4;;104050,00;104060;104050;104060;115060;115110;114980;115110;112490;112530;112450;112500;114950;115090;114950;115090
SPFB,RTS-12,18;1;10,09,2018;11:05;104000;104020;104000;104020;6;;104000,00;104020;104000;104020;115110;115110;115050;115070;112510;112530;112470;112480;115080;115110;114990;115000
SPFB,RTS-12,18;1;10,09,2018;11:06;104000;104000;104000;104000;4;;104000,00;104000;104000;104000;115080;115160;115080;115130;112480;112490;112440;112470;115000;115010;114940;114990
SPFB,RTS-12,18;1;10,09,2018;11:07;103980;103980;103960;103960;53;;103980,00;103980;103960;103960;115130;115150;115040;115130;112460;112480;112390;112410;114980;115080;114930;114980
SPFB,RTS-12,18;1;10,09,2018;11:08;104000;104000;104000;104000;5;;104000,00;104000;104000;104000;115120;115130;115010;115060;112400;112450;112380;112430;114980;115000;114870;114950
